Name,Role,Black
Jen Mueller,Sideline,No
Jennifer Hale,Sideline,No
Jill Arringtonor,Sideline,No
John Clayton,Sideline,No
John DeShazier,Sideline,Yes
John Harris,Sideline,No
John Michaels,Sideline,No
John Schriffen,Sideline,Yes
Joy Taylor,Sideline,Yes
Jouhn Tournour,Sideline,No
Justin Forsett,Sideline,Yes
Karyn Bryant,Sideline,Yes
Kevin Donnalley,Sideline,No
Kim Bokamper,Sideline,No
Kirk McEwen ,Sideline,Yes
Kristi Scales,Sideline,No
Kristian Garic,Sideline,No
Kristina Pink,Sideline,Yes
Lance Allen,Sideline,No
Larry Hardesty,Sideline,Yes
Laura Okmin,Sideline,No
Lindsay Cash Draper,Sideline,No
Lisa Matthews,Sideline,No
Lisa Salters,Sideline,Yes
Lou Canellis,Sideline,No
Mark Grote,Sideline,No
Megan Olivi,Sideline,No
Melanie Collins,Sideline,No
Michele Tafoya,Sideline,No
Mike Valpredo,Sideline,No
Missi Matthews,Sideline,No
Nathan Zegura,Sideline,No
Otis Livingston,Sideline,Yes
Pam Oliver,Sideline,Yes
Paul Calvisi,Sideline,No
Paul Gerke,Sideline,No
Rich Walsh,Sideline,No
Rick Walker,Sideline,Yes
Rick Ballou,Sideline,No
Rob Ninkovich,Sideline,No
Rod Brooks,Sideline,Yes
Rod Mackey,Sideline,No
Sal Capaccio,Sideline,No
Sara Walsh,Sideline,No
Sarah Kustok,Sideline,No
Shannon Farren,Sideline,No
Shannon Spake,Sideline,No
Sharon Thorsland,Sideline,No
Steve Burton,Sideline,Yes
T.J. Rives,Sideline,No
Thad Brown,Sideline,No
Todd McShay,Sideline,No
Tony Ortiz,Sideline,Yes
Tori Petry,Sideline,No
Tracy Wolfson,Sideline,No
Tyler Polumbus,Sideline,No
